A용량,A민감성,A향기,A커버력,A지속력,A피부톤,A보습감,A향,A사용감,A발림성,A세정력,A촉촉함,A유분기,A발색감,A제형,A보습력,rating,review_split,big_category,brand,date,prod_id,prod_nm,small_category,prod_nm_origin,length,overall_neg,overall_neu,overall_pos,용량_neg,민감성_neg,향기_neg,커버력_neg,지속력_neg,피부톤_neg,보습감_neg,향_neg,사용감_neg,발림성_neg,세정력_neg,촉촉함_neg,유분기_neg,발색감_neg,제형_neg,용량_neu,민감성_neu,향기_neu,커버력_neu,지속력_neu,피부톤_neu,보습감_neu,향_neu,사용감_neu,발림성_neu,세정력_neu,촉촉함_neu,유분기_neu,발색감_neu,제형_neu,용량_pos,민감성_pos,향기_pos,커버력_pos,지속력_pos,피부톤_pos,보습감_pos,향_pos,사용감_pos,발림성_pos,세정력_pos,촉촉함_pos,유분기_pos,발색감_pos,제형_pos,ATT_용량,ATT_민감성,ATT_향기,ATT_커버력,ATT_지속력,ATT_피부톤,ATT_보습감,ATT_향,ATT_사용감,ATT_발림성,ATT_세정력,ATT_촉촉함,ATT_유분기,ATT_발색감,ATT_제형,NVA_with_duplicate
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['바디워시 쓰고 반해서 핸드워시도 사게 됬어요', '바디워시와 같은향이라 그런지 좋네요 건조한 손이 더 건조해지지 않았으면 해요']",catE,sulhwasoo,2021-02-25,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,89,0.255,0.384,0.361,,,0.214,,,,,,,,,,,,,,,0.527,,,,,,,,,,,,,,,0.259,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"['바디', '워시', '쓰다', '반하다', '핸드', '워', '시도', '사다', '되다', '바디', '워시', '같다', '향', '그렇다', '좋다', '건조하다', '손', '더', '건조하다', '않다', '해']"
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['선물하기에 너무 좋아용 사실 내돈주고 사기엔 아깝구 선물 받은 좋은 아이템 ㅎㅎ 핸드워시치고 가격이 너무 나가기에 산물하면 너무 좋아하셔용 ㅎㅎ 저도 써보니 너무 좋구요', '향도 좋구 다 맘에들어용 ㅎㅎ 바디워시 핸드워시다 백은향 좋아요']",catE,sulhwasoo,2020-10-19,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,169,0.076,0.348,0.5770000000000001,,,0.128,,,,,,,,,,,,,,,0.241,,,,,,,,,,,,,,,0.631,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"['선물', '하다', '좋다', '사실', '돈', '주다', '사기', '아깝다', '선물', '받다', '좋다', '아이템', '핸드', '워시', '가격', '나가다', '산', '물다', '좋아하다', '저', '써다', '보다', '좋다', '향', '좋다', '맘', '들다', '바디', '워시', '핸드', '워시', '백', '향', '좋다']"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['향이 좋아요.', '요즘은 손을 자주 씻어야하는 때잖아요.', '외출 후 돌아오면 제일 먼저 하는 일이 손씻기인것은 다들 아시겠죠?', '손씻고 나면 손이 보들보들... 좋은 향까지 나니 기분도 좋아집니다.', '가격은 좀 비싼게 흠입니다.']",catE,sulhwasoo,2020-10-04,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,167,0.3229999999999999,0.385,0.292,,,0.357,,,,,,,,,,,,,,,0.238,,,,,,,,,,,,,,,0.405,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"['향', '좋다', '요즘', '손', '자주', '씻다', '야하다', '때', '잖다', '외출', '후', '돌아오다', '제일', '먼저', '하다', '손씻기', '것', '들다', '알다', '손', '씻다', '나다', '손', '좋다', '향', '나니', '기분', '좋아지다', '가격', '좀', '비싸다', '흠', '이다']"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['늘 쓰던거라서 주문했어요', '일단 향이 너무 좋아요', '그리고 사용하고 나면 손이 부드러워 집니다.', '손을 많이 쓰는 직업이라서 늘 손이 건조했는데 설화수 핸드워시는 손을 자주 씻어도 건조하지 않고 촉촉하게 유지해주네요', '핸드크림을 사용하지 않아도 손이 부들부들해요', '가격이 조금 비싸긴하지만 인생템입니다!!']",catE,sulhwasoo,2020-09-12,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,221,0.321,0.45,0.2289999999999999,,,0.262,,,,,,,,,,,,,,,0.276,,,,,,,,,,,,,,,0.462,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"['늘', '쓰다', '주문', '하다', '일단', '향', '좋다', '사용', '나다', '손', '부드럽다', '지다', '손', '쓰다', '직업', '늘', '손', '건조하다', '설화수', '핸드', '워시', '손', '자주', '씻다', '건조하다', '않다', '촉촉하다', '유지', '해주다', '핸드', '크림', '사용', '하다', '않다', '손', '부들부들하다', '가격', '조금', '비싸다', '인생', '템', '이다']"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['디자인이 너무 맘에 들어요!!', '향도 너무 좋구요~^^', '가격만 저렴하면 더 좋겠어요~^^']",catE,sulhwasoo,2020-09-04,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,68,0.093,0.612,0.296,,,0.1639999999999999,,,,,,,,,,,,,,,0.272,,,,,,,,,,,,,,,0.563,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"['디자인', '맘', '들다', '향', '좋다', '가격', '저렴하다', '더', '좋다']"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"['300ml용량인데 핸드워시치고는 부피감 무게감이 상당하네요', '설화수 할인쿠폰들이 없어지기전에 사고싶었던 워시 하나 구매해보았어요.', '향은 좋구요', '리필도 팔았으면 좋겠어요', '쿠폰들도 종종 주시면 더 좋을것같아요', '좋은기획구매 감사합니다', '아모레퍼시픽몰']",catE,sulhwasoo,2020-08-18,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,180,0.284,0.294,0.422,0.1889999999999999,,0.296,,,,,,,,,,,,,0.39,,0.472,,,,,,,,,,,,,0.421,,0.2319999999999999,,,,,,,,,,,,,0.49923238,,0.50076765,,,,,,,,,,,,,"['용량', '핸드', '워시', '부피', '감', '무게', '감', '상당하다', '설화수', '할인', '쿠폰', '없어지다', '기전', '사다', '워시', '하나', '구매', '해보다', '향', '좋다', '리필', '파다', '좋다', '쿠폰', '종종', '주시', '더', '좋다', '같다', '좋다', '기획', '구매', '감사하다', '아모레퍼시픽', '몰다']"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['설화수 백은향 핸드크림 사용하고 있어요.', '은은하고 보습도 괜찮아서 쭉 사용하고 있는데 같은 라인 핸드워시가 있다고 해서 구매했어요.', '요즘처럼 열심히 손씻어야 할 때 잠시 기분전환 할 수 있게 해주는 향입니다.', '용량도 괜찮고 여러모로 쓰임많은 핸드 제품이네요.', '추천합니다.']",catE,sulhwasoo,2020-08-05,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,202,0.347,0.36,0.293,0.4639999999999999,,0.115,,,,,,,,,,,,,0.223,,0.336,,,,,,,,,,,,,0.313,,0.5489999999999999,,,,,,,,,,,,,0.50023186,,0.49976817,,,,,,,,,,,,,"['설화수', '백', '향', '핸드', '크림', '사용', '있다', '은은하다', '보습', '괜찮다', '쭉', '사용', '있다', '같다', '라인', '핸드', '워', '시가', '있다', '하다', '구매', '하다', '요즘', '손', '씻다', '하다', '때', '잠시', '기분', '전환', '하다', '수', '있다', '해주다', '향', '이다', '용량', '괜찮다', '모로', '쓰이다', '많다', '핸드', '제품', '요', '추천', '하다']"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['진짜 가격이 비싼거 빼고는 인생 핸드워시랍니다.', '향이 너무너무 좋습니다.']",catE,sulhwasoo,2020-08-01,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,55,0.201,0.5,0.299,,,0.192,,,,,,,,,,,,,,,0.353,,,,,,,,,,,,,,,0.456,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"['진짜', '가격', '비싸다', '빼다', '인생', '핸드', '워', '랍니', '향', '좋다']"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['설화수 백은향 핸드워시는 처음에 살까말까 고민하다가 샀어요.', '핸드워시 치고 비싸기도하고 얼굴도 아니고 손인데 뭘 비싼거 쓰나했는데 받아보니 좋아요향도 은은하고 요즘 같은 코로나에 자주씻다보니 향이 좋아서 기분도 좋아지네요']",catE,sulhwasoo,2020-07-17,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,156,0.118,0.473,0.409,,,0.14,,,,,,,,,,,,,,,0.268,,,,,,,,,,,,,,,0.5920000000000001,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"['설화수', '백', '향', '핸드', '워시', '처음', '살', '까맣다', '고민', '하다', '사다', '핸드', '워시', '비싸다', '기도', '얼굴', '아니다', '손', '뭘', '비싸다', '쓰다', '하다', '받다', '보다', '좋다', '향', '은은하다', '요즘', '같다', '코로나', '자주', '씻다', '보다', '향', '좋다', '기분', '좋아지다']"
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['조금만 사용해도 욕실에 좋은향기가 가득해지네요.', '핸드솦으로는 비싸지만 그만큼 확실한 가치가 있어요.', '용량도 많고요.', '무엇보다 욕실에 있으면 고급스럽고 예뻐 보이는 효과까지 가지고 있는 핸드솦은 설화수 뿐이에요.', '잘쓰고 다음엔 다른 향기 주문 하고싶습니다.']",catE,sulhwasoo,2020-07-13,21802,핸드워시 백은향,cat9,핸드워시 백은향 300ml,188,0.208,0.4539999999999999,0.3379999999999999,0.471,,,,,,,,,,,,,,,0.212,,,,,,,,,,,,,,,0.317,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,"['조금', '사용', '하다', '욕실', '좋다', '향기', '가득하다', '핸드솦', '비싸다', '확실하다', '가치', '있다', '용량', '많다', '무엇', '욕실', '있다', '고급스럽다', '예쁘다', '보이다', '효과', '가지', '있다', '핸드솦', '설화수', '뿐', '잘쓰다', '다음', '다른', '향기', '주문', '하다']"
